id,updated,ship,imo,lat,long,sog,cog,hdg,depPort,etdSchedule,etd,atd,arrPort,etaSchedule,eta,ata
696604,12/01/2019 19:19,Europa,8919805,59.5284,24.7229,16.3,159,159,FIHEL,12/01/2019 16:30,12/01/2019 16:33,2019-01-12 16:33:13,EETLL,12/01/2019 20:00,01/12/2019 19:47,01/12/2019 19:53
8451,08/04/2018 08:29,Megastar,9773064,59.7437,24.7804,22.6,193,193,FIHEL,08/04/2018 07:30,08/04/2018 07:30,2018-04-08 07:20:16,EETLL,08/04/2018 09:30,04/08/2018 09:27,04/08/2018 09:29
191109,17/06/2018 13:20,Finlandia,9214379,59.7553,24.7247,20.7,200,197,FIHEL,17/06/2018 12:15,17/06/2018 12:15,2018-06-17 12:03:42,EETLL,17/06/2018 14:30,,
607900,30/11/2018 12:10,Megastar,9773064,59.714,24.7664,22.2,14,13,EETLL,30/11/2018 11:30,30/11/2018 11:30,2018-11-30 11:19:15,FIHEL,30/11/2018 13:30,,
248094,09/07/2018 11:18,Finlandia,9214379,60.1462,24.9098,2.6,174,146,EETLL,09/07/2018 09:00,09/07/2018 09:12,2018-07-09 09:11:53,FIHEL,09/07/2018 11:15,07/09/2018 11:20,07/09/2018 11:30
116765,19/05/2018 18:19,Megastar,9773064,60.1259,24.9053,16.5,3,3,EETLL,19/05/2018 16:30,19/05/2018 16:30,2018-05-19 16:20:30,FIHEL,19/05/2018 18:30,,
397901,08/09/2018 11:04,Star,9364722,59.8997,24.8593,22.5,194,192,FIHEL,08/09/2018 10:30,08/09/2018 10:30,2018-09-08 10:19:15,EETLL,08/09/2018 12:30,09/08/2018 12:29,09/08/2018 12:36
45569,22/04/2018 08:03,Star,9364722,59.6798,24.6941,22.5,6,7,EETLL,22/04/2018 07:30,22/04/2018 07:30,2018-04-22 07:21:12,FIHEL,22/04/2018 09:30,,
382904,02/09/2018 18:26,Megastar,9773064,60.1459,24.9167,1.8,189,146,EETLL,02/09/2018 16:30,02/09/2018 16:30,2018-09-02 16:18:18,FIHEL,02/09/2018 18:30,09/02/2018 18:27,09/02/2018 18:32
420919,17/09/2018 03:57,Finlandia,9214379,59.7608,24.8142,24.4,22,19,EETLL,17/09/2018 03:00,17/09/2018 03:00,2018-09-17 02:57:43,FIHEL,17/09/2018 05:15,,
485840,11/10/2018 08:07,Star,9364722,59.7013,24.7649,22.4,28,25,EETLL,11/10/2018 07:30,11/10/2018 07:30,2018-10-11 07:21:00,FIHEL,11/10/2018 09:30,10/11/2018 09:28,10/11/2018 09:38
356304,23/08/2018 20:07,Megastar,9773064,59.8694,24.8349,22.3,196,197,FIHEL,23/08/2018 19:30,23/08/2018 19:30,2018-08-23 19:17:28,EETLL,23/08/2018 21:30,,
431436,20/09/2018 19:48,Star,9364722,59.5891,24.6946,21.0,338,338,EETLL,20/09/2018 19:30,20/09/2018 19:30,2018-09-20 19:20:56,FIHEL,20/09/2018 21:30,,
267217,16/07/2018 14:41,Megastar,9773064,59.687,24.6945,22.5,193,191,FIHEL,16/07/2018 13:30,16/07/2018 13:30,2018-07-16 13:19:10,EETLL,16/07/2018 15:30,,
895251,08/03/2019 18:23,Finlandia,9214379,60.044,24.901,21.0,341,340,EETLL,08/03/2019 16:30,08/03/2019 16:30,2019-03-08 16:27:15,FIHEL,08/03/2019 19:00,03/08/2019 18:49,03/08/2019 18:55
687797,08/01/2019 08:58,Megastar,9773064,59.9376,24.8736,23.6,199,199,FIHEL,08/01/2019 08:30,08/01/2019 08:30,2019-01-08 08:22:06,EETLL,08/01/2019 10:30,01/08/2019 10:25,01/08/2019 10:33
555906,11/11/2018 13:03,Finlandia,9214379,60.1492,24.9118,0.2,303,207,FIHEL,11/11/2018 13:15,11/11/2018 13:15,,EETLL,11/11/2018 15:30,11/11/2018 15:30,11/11/2018 15:56
888775,06/03/2019 12:22,Megastar,9773064,59.8078,24.7979,23.1,30,30,EETLL,06/03/2019 11:30,06/03/2019 11:30,2019-03-06 11:18:13,FIHEL,06/03/2019 13:30,03/06/2019 13:26,03/06/2019 13:20
647751,15/12/2018 05:20,Megastar,9773064,59.4476,24.7743,7.2,35,216,EETLL,15/12/2018 05:30,15/12/2018 05:30,2018-12-15 05:20:12,FIHEL,15/12/2018 07:30,,
68790,30/04/2018 17:59,Megastar,9773064,60.0468,24.8985,23.8,348,349,EETLL,30/04/2018 16:30,30/04/2018 16:30,2018-04-30 16:19:17,FIHEL,30/04/2018 18:30,,
236126,04/07/2018 20:02,Megastar,9773064,59.909,24.8597,22.4,194,194,FIHEL,04/07/2018 19:30,04/07/2018 19:30,2018-07-04 19:17:55,EETLL,04/07/2018 21:30,07/04/2018 21:28,07/04/2018 21:25
90193,09/05/2018 08:54,Star,9364722,59.9749,24.8932,22.5,14,12,EETLL,09/05/2018 07:30,09/05/2018 07:30,2018-05-09 07:25:16,FIHEL,09/05/2018 09:30,05/09/2018 09:30,05/09/2018 09:30
25871,14/04/2018 19:34,Megastar,9773064,60.0779,24.8967,21.9,185,184,FIHEL,14/04/2018 19:30,14/04/2018 19:30,2018-04-14 19:20:12,EETLL,14/04/2018 21:30,,
520381,27/10/2018 11:52,Star,9364722,59.6241,24.6572,21.1,190,179,FIHEL,27/10/2018 10:30,27/10/2018 10:30,2018-10-27 10:20:12,EETLL,27/10/2018 12:30,,
503587,17/10/2018 19:42,Star,9364722,59.5593,24.7164,21.2,342,339,EETLL,17/10/2018 19:30,17/10/2018 19:30,2018-10-17 19:18:57,FIHEL,17/10/2018 21:30,,
849542,19/02/2019 14:42,Star,9364722,60.038,24.9006,21.6,165,167,FIHEL,19/02/2019 14:30,19/02/2019 14:30,2019-02-19 14:20:23,EETLL,19/02/2019 16:30,,
26567,15/04/2018 08:01,Megastar,9773064,59.9044,24.8624,23.9,193,193,FIHEL,15/04/2018 07:30,15/04/2018 07:30,2018-04-15 07:20:12,EETLL,15/04/2018 09:30,,
367507,28/08/2018 06:29,Finlandia,9214379,60.0078,24.9013,19.4,180,179,FIHEL,28/08/2018 06:00,28/08/2018 06:00,2018-08-28 05:59:10,EETLL,28/08/2018 08:15,,
464934,03/10/2018 11:06,Star,9364722,59.8894,24.8518,21.3,195,193,FIHEL,03/10/2018 10:30,03/10/2018 10:30,2018-10-03 10:19:54,EETLL,03/10/2018 12:30,10/03/2018 12:29,10/03/2018 12:33
281486,22/07/2018 10:38,Star,9364722,60.0602,24.8871,19.7,177,174,FIHEL,22/07/2018 10:30,22/07/2018 10:30,2018-07-22 10:20:19,EETLL,22/07/2018 12:30,,
50736,24/04/2018 05:28,Megastar,9773064,59.843,24.8284,23.1,14,16,EETLL,24/04/2018 04:30,24/04/2018 04:30,2018-04-24 04:21:09,FIHEL,24/04/2018 06:30,,
295145,27/07/2018 06:04,Megastar,9773064,60.0633,24.8956,22.6,1,1,EETLL,27/07/2018 04:30,27/07/2018 04:30,2018-07-27 04:19:03,FIHEL,27/07/2018 06:30,,
19710,12/04/2018 14:20,Finlandia,9214379,59.4923,24.7488,22.4,154,152,FIHEL,12/04/2018 12:15,12/04/2018 12:15,2018-04-12 12:27:11,EETLL,12/04/2018 14:30,04/12/2018 14:33,04/12/2018 14:47
738173,28/01/2019 16:38,Finlandia,9214379,59.4467,24.7685,3.3,57,257,EETLL,28/01/2019 16:30,28/01/2019 16:35,2019-01-28 16:36:11,FIHEL,28/01/2019 19:00,,
111321,17/05/2018 16:32,Finlandia,9214379,59.7495,24.7263,22.6,25,24,EETLL,17/05/2018 15:30,17/05/2018 15:30,2018-05-17 15:30:19,FIHEL,17/05/2018 18:00,,
46802,22/04/2018 15:59,Finlandia,9214379,59.5948,24.6903,21.9,345,344,EETLL,22/04/2018 15:30,22/04/2018 15:30,2018-04-22 14:45:40,FIHEL,22/04/2018 18:00,,
71297,01/05/2018 17:11,Finlandia,9214379,59.9562,24.8932,19.9,9,7,EETLL,01/05/2018 15:30,01/05/2018 15:30,2018-05-01 15:22:08,FIHEL,01/05/2018 18:00,05/01/2018 17:51,05/01/2018 17:58
170606,09/06/2018 19:34,Star,9364722,59.4996,24.7573,21.0,345,341,EETLL,09/06/2018 19:30,09/06/2018 19:30,2018-06-09 19:22:21,FIHEL,09/06/2018 21:30,06/09/2018 21:31,06/09/2018 21:35
703097,15/01/2019 17:52,Megastar,9773064,59.52,24.7425,24.6,340,340,EETLL,15/01/2019 17:30,15/01/2019 17:33,2019-01-15 17:34:16,FIHEL,15/01/2019 19:30,,
659994,19/12/2018 14:47,Star,9364722,59.5856,24.6973,22.3,348,340,EETLL,19/12/2018 14:30,19/12/2018 14:30,2018-12-19 14:20:09,FIHEL,19/12/2018 16:30,,
264395,15/07/2018 13:52,Star,9364722,59.6002,24.6877,21.0,355,354,EETLL,15/07/2018 13:30,15/07/2018 13:30,2018-07-15 13:22:25,FIHEL,15/07/2018 15:30,,
615735,03/12/2018 11:29,Megastar,9773064,59.4868,24.7636,21.5,345,345,EETLL,03/12/2018 11:30,03/12/2018 11:30,2018-12-03 11:17:09,FIHEL,03/12/2018 13:30,12/03/2018 13:27,12/03/2018 13:20
79870,05/05/2018 04:57,Star,9364722,59.9551,24.8905,22.6,196,195,FIHEL,05/05/2018 04:30,05/05/2018 04:30,2018-05-05 04:21:59,EETLL,05/05/2018 06:30,05/05/2018 06:31,05/05/2018 06:33
880723,03/03/2019 10:52,Europa,8919805,59.469,24.7732,11.9,356,355,EETLL,03/03/2019 10:30,03/03/2019 10:37,2019-03-03 10:37:14,FIHEL,03/03/2019 14:00,03/03/2019 13:51,03/03/2019 13:52
379226,01/09/2018 11:37,Megastar,9773064,59.8825,24.8499,22.4,12,12,EETLL,01/09/2018 10:30,01/09/2018 10:30,2018-09-01 09:35:44,FIHEL,01/09/2018 12:30,09/01/2018 12:28,09/01/2018 12:37
324845,11/08/2018 14:09,Star,9364722,59.7038,24.7804,22.1,29,26,EETLL,11/08/2018 13:30,11/08/2018 13:59,2018-08-11 13:20:45,FIHEL,11/08/2018 15:30,08/11/2018 15:29,08/11/2018 15:30
225174,30/06/2018 17:47,Europa,8919805,59.663,24.6559,15.1,180,177,FIHEL,30/06/2018 15:30,30/06/2018 15:34,2018-06-30 15:35:12,EETLL,30/06/2018 19:00,,
662386,20/12/2018 12:33,Europa,8919805,59.8876,24.8305,15.3,18,20,EETLL,20/12/2018 10:30,20/12/2018 10:35,2018-12-20 10:36:09,FIHEL,20/12/2018 14:00,,
549119,08/11/2018 19:23,Star,9364722,59.4536,24.7774,13.3,175,172,FIHEL,08/11/2018 17:30,08/11/2018 17:30,2018-11-08 17:21:14,EETLL,08/11/2018 19:30,11/08/2018 19:28,11/08/2018 19:38
316713,07/08/2018 04:14,Finlandia,9214379,59.88,24.8585,25.2,12,10,EETLL,07/08/2018 03:00,07/08/2018 03:00,2018-08-07 02:55:41,FIHEL,07/08/2018 05:15,08/07/2018 05:07,08/07/2018 05:01
345624,20/08/2018 03:45,Finlandia,9214379,59.6893,24.7605,24.5,24,23,EETLL,20/08/2018 03:00,20/08/2018 03:00,2018-08-20 02:57:57,FIHEL,20/08/2018 05:15,,
403305,10/09/2018 12:09,Megastar,9773064,60.0818,24.8957,20.4,5,6,EETLL,10/09/2018 10:30,10/09/2018 10:30,2018-09-10 10:21:16,FIHEL,10/09/2018 12:30,09/10/2018 12:26,09/10/2018 12:33
228861,02/07/2018 06:24,Finlandia,9214379,60.0512,24.8965,21.8,169,167,FIHEL,02/07/2018 06:00,02/07/2018 06:03,2018-07-02 06:03:10,EETLL,02/07/2018 08:15,07/02/2018 08:19,07/02/2018 08:31
